source,title,description,content,url,image,author,published_at
newsapi,Sheinbaum bloquea celulares sin identificar: el trámite obligatorio si tienes un número de México y vives en EE.UU.,"Los migrantes procedentes del país latino deben registrar sus teléfonos con el sistema denominado CURP biométrico; la información incluye nombres, fecha de nacimiento, nacionalidad y huellas dactilares",Claudia Sheinbaum anunció recientemente que los mexicanos que viven en Estados Unidos y tienen un número de teléfono de su país natal deberán registrarse con la Clave Única de Registro de Población (… [+2779 chars],https://www.lanacion.com.ar/estados-unidos/sheinbaum-bloquea-celulares-sin-identificar-el-tramite-obligatorio-si-tienes-un-numero-de-mexico-y-nid18022026/,https://resizer.glanacion.com/resizer/v2/los-migrantes-que-tienen-un-numero-de-mexico-y-JEB4B2GOE5HKNDIPF6HMUNH42I.jpg?auth=9042fa65b0638356ad4dcc7549d26c6e5736600127316157150ddea9469773cf&width=1200&quality=70&smart=false&height=800,LA NACION,2026-02-18T23:00:00Z
newsapi,"Sheinbaum se reúne con Martina Cheung, de S&P Global; hablan sobre IA y economía","Claudia Sheinbaum, a través de un post de X, informó que se reunió con la directora ejecutiva de S&P Global, Martina L. Cheung, en Palacio Nacional.La Presidenta comentó que dentro de los temas que tocaron se encuentran la Inteligencia Aaritificial (IA) y la …","Claudia Sheinbaum, a través de un post de X, informó que se reunió con la directora ejecutiva de S&amp;P Global, Martina L. Cheung, en Palacio Nacional. 
La Presidenta comentó que dentro de los tema… [+1342 chars]",https://www.milenio.com/negocios/sheinbaum-reune-martina-cheung-sp-global,https://cdn.milenio.com/uploads/media/2026/02/18/sheinbaum-reune-martina-cheung-global.jpeg,Redacción,2026-02-18T23:00:00Z
newsapi,¿Industria o vehículos? Estos sectores contaminan más el aire en CdMx,"El la última semana, la calidad del aire en el Valle de México ha registrado altos índices de contaminantes, situación que provocó la activación de contingencia ambiental.La Comisión Ambiental de la Megalópolis (CAMe) solicitó a las personas a tomar precaucio…","El la última semana, la calidad del aire en el Valle de México ha registrado altos índices de contaminantes, situación que provocó la activación de contingencia ambiental. 
La Comisión Ambiental de … [+2540 chars]",https://www.milenio.com/comunidad/sectores-que-contaminan-mas-el-aire-valle-de-mexico-cuales-son,https://cdn.milenio.com/uploads/media/2021/10/06/horacio-riojas-contaminacion-aire-causa.jpg,Hernán Cortés,2026-02-18T22:56:00Z
newsapi,"""El fentanilo no distingue"": embajador de EU en México sobre caso de niña intoxicada en Puebla","El embajador de Estados Unidos en México, Ronald Johnson, externó su solidaridad con las víctimas y familiares delcaso de intoxicación en el estado de Puebla, donde una menor dio positivo a fentanilo y este miércoles recibió el alta médica tras permanecer más…","El embajador de Estados Unidos en México, Ronald Johnson, externó su solidaridad con las víctimas y familiares del caso de intoxicación en el estado de Puebla, donde una menor dio positivo a fentanil… [+2880 chars]",https://www.milenio.com/internacional/embajador-eu-mexico-externa-solidaridad-caso-intoxicacion-puebla,https://cdn.milenio.com/uploads/media/2025/07/23/ronald-johnson-embajador-unidos-mexico.jpg,Milenio Internacional,2026-02-18T22:55:00Z
newsapi,"The Flaming Lips regresan a CdMx; fecha, sede y boletos para ver a la banda de rock psicodélico","Los conciertos no paran en la Ciudad de México; a la enorme lista de eventos venideros, ahora se suma el regreso de una banda icónica del rock psicodélico a nivel mundial: The Flaming Lips.Formada en Oklahoma City en 1983, la banda ha construido un legado bas…","Los conciertos no paran en la Ciudad de México; a la enorme lista de eventos venideros, ahora se suma el regreso de una banda icónica del rock psicodélico a nivel mundial: The Flaming Lips.
Formada … [+1604 chars]",https://www.milenio.com/espectaculos/musica/concierto-de-the-flaming-lips-en-cdmx-cuando-y-donde-es,https://cdn.milenio.com/uploads/media/2026/02/18/cantante-banda-the-flaming-lips.jpg,Milenio Entretenimiento,2026-02-18T22:53:42Z
newsapi,De la ciencia al paciente: la evolución de la industria farmacéutica en México en los últimos 81 años,"México es hoy uno de los principales productores de medicamentos en América Latina, con una industria que abastece al mercado nacional e internacional.La industria farmacéuticase ha convertido en un generador clave de empleo, impulsando la formación de una gr…","México es hoy uno de los principales productores de medicamentos en América Latina, con una industria que abastece al mercado nacional e internacional.
La industria farmacéutica se ha convertido en … [+3671 chars]",https://www.milenio.com/ciencia-y-salud/evolucion-de-industria-farmaceutica-en-mexico-en-ultimos-81-anos,https://cdn.milenio.com/uploads/media/2026/02/18/innovacion-impulsa-formacion-talento-desarrollo.jpeg,Redacción,2026-02-18T22:31:00Z
newsapi,Ariadna Montiel encabeza reunión con instituciones para beneficiar a trabajadores agrícolas de San Quintín,"Ariadna Montiel Reyes, titular de la Secretaria de Bienestar, encabezó una reunió con instituciones que representan a los trabajadores agrícolas de la localidad de San Quintín, Baja California.En redes sociales, la funcionaria resaltó que dichas instituciones…","Ariadna Montiel Reyes, titular de la Secretaria de Bienestar, encabezó una reunió con instituciones que representan a los trabajadores agrícolas de la localidad de San Quintín, Baja California.
En r… [+3029 chars]",https://www.milenio.com/estados/ariadna-montiel-se-reune-con-representantes-de-agricolas-san-quintin,https://cdn.milenio.com/uploads/media/2026/02/18/reunion-atender-plan-justicia-trabajadores.jpeg,Rafael Mejía Fernández de Lara,2026-02-18T22:19:00Z
newsapi,“Vamos a desbloquear recuerdos a través de la música”: Jorge Medina,"Los ex vocalistas de La Arrolladora Banda el Limón, Jorge Medina y Josi Cuen, anunciaron sus cuatro conciertos en el Auditorio Nacional para el mes de septiembre y además hablaron de su reciente colaboración con Calibre 50.Después de su paso por otros recinto…","Los ex vocalistas de La Arrolladora Banda el Limón, Jorge Medina y Josi Cuen, anunciaron sus cuatro conciertos en el Auditorio Nacional para el mes de septiembre y además hablaron de su reciente cola… [+2176 chars]",https://www.milenio.com/espectaculos/desbloquearemos-recuerdos-a-traves-de-la-musica-jorge-medina,https://cdn.milenio.com/uploads/media/2026/02/18/los-musicos-continuan-con-el.jpg,Omar A. G. Pardavé,2026-02-18T22:13:59Z
newsapi,Mario Méndez espera que 'Hormiga' González emule a Andrés Guardado e impulse su carrera en el Mundial,"A medida que avanzan los días, los preparativos para la Copa del Mundo, así como las cuestiones deportivas, van encontrando un desenlace, que, para el pueblo mexicano debe ser positivo.Mario Méndez, uno de los Embajadores de Guadalajara 2026, que estuvo prese…","A medida que avanzan los días, los preparativos para la Copa del Mundo, así como las cuestiones deportivas, van encontrando un desenlace, que, para el pueblo mexicano debe ser positivo.
Mario Méndez… [+1397 chars]",https://www.milenio.com/futbol/liga-mx/esperan-que-armando-gonzalez-emule-a-andres-guardado-en-el-mundial,https://cdn.milenio.com/uploads/media/2026/02/18/armando-gonzalez-levanta-mano-convocado.jpg,Alberto Ávalos,2026-02-18T22:11:00Z
newsapi,Oaxaca es la entidad más afectada por incendios forestales en lo que va de 2026,"Con un total de 2 mil 577.45 hectáreas siniestradas por el fuego, Oaxaca se convirtió en el estado más afectado por incendios forestalesen lo que va de 2026.La Comisión Nacional Forestal (Conafor) confirmó que entre el 1 de enero y el 12 de febrero, en la ent…","Con un total de 2 mil 577.45 hectáreas siniestradas por el fuego, Oaxaca se convirtió en el estado más afectado por incendios forestales en lo que va de 2026.
La Comisión Nacional Forestal (Conafor)… [+2553 chars]",https://www.milenio.com/estados/oaxaca-el-estado-mas-afectado-por-incendios-forestales-en-mexico,https://cdn.milenio.com/uploads/media/2026/02/18/oaxaca-entidad-afectada-incendios-forestales.jpg,Álvaro Morales,2026-02-18T22:06:00Z
